,2.5%,97.5%,OR,Feature,Country,Region,log_OR,log_lower_CI,log_upper_CI,SE,Unexposed,Exposed,Total
0,2.026112102658656,4.671308591950213,3.0764581702671814,Barthel,Greece,SouthernEurope,1.123778990573285,0.7061187363088893,1.5414392448376806,0.21309196646142634,2404,141,2545
0,3.0203085176290125,7.719600516865046,4.828620423452316,Barthel,Croatia,EasternEurope,1.5745608002510034,1.1053589843242915,2.0437626161777156,0.23938868159526125,2378,124,2502
0,1.6560186853926995,5.6712424838943996,3.064585375335794,Barthel,Bulgaria,EasternEurope,1.1199122830223116,0.504416339349108,1.7354082266955153,0.3140285426904101,817,63,880
0,1.2836125449125257,4.902775989495504,2.5086380298903928,Barthel,Cyprus,SouthernEurope,0.9197399882999516,0.2496784034315205,1.5898015731683826,0.3418681555451179,463,51,514
0,1.4454840988153568,14.73534881300585,4.61516114558286,Barthel,Finland,NorthernEurope,1.5293467851313056,0.3684442819401204,2.690249288322491,0.5922971955057068,1079,40,1119
0,2.87241812777757,7.632910822470725,4.682404447949206,Barthel,Lithuania,NorthernEurope,1.5438117489237766,1.0551542282554067,2.0324692695921467,0.2493150615654949,1275,105,1380
0,1.1309512310773198,5.328008953135016,2.4547338521190087,Barthel,Latvia,NorthernEurope,0.898018344827481,0.12305907602507729,1.6729776136298848,0.3953873820420427,722,42,764
0,1.6101973925938897,9.332566951527962,3.8765029306784005,Barthel,Malta,SouthernEurope,1.3549334406880447,0.47635677557668743,2.233510105799402,0.44825340056701907,739,33,772
0,3.2668499797541215,11.00548678326658,5.996104925290974,Barthel,Romania,EasternEurope,1.7911100793018806,1.1838262116852203,2.398393946918541,0.3098387079676838,1127,90,1217
0,1.9036108087227128,8.01340727832755,3.9056892745995015,Barthel,Slovak Republic,EasternEurope,1.3624342784963765,0.6437525082917288,2.0811160487010243,0.3666743725533917,901,45,946
0,1.3350018584276588,2.241283721411978,1.7297739544081039,Barthel,Costa Rica,LatinAmerica,0.5479907377807923,0.28893268393188726,0.8070487916296974,0.13217247645352304,2181,361,2542
